date,open,high,low,close,adj_close,volume,source
2000-01-03,0.9363840222358704,1.004464030265808,0.9079239964485168,0.9994419813156128,0.8440037965774536,535796800,yahoo
2000-01-04,0.966517984867096,0.9877229928970337,0.9034600257873535,0.9151790142059326,0.7728459239006042,512377600,yahoo
2000-01-05,0.9263389706611633,0.9871649742126465,0.919642984867096,0.9285709857940674,0.7841553688049316,778321600,yahoo
2000-01-06,0.9475449919700623,0.955357015132904,0.8482139706611633,0.8482139706611633,0.7162955403327942,767972800,yahoo
2000-01-07,0.861607015132904,0.9017860293388367,0.8526790142059326,0.888392984867096,0.750225841999054,460734400,yahoo
2000-01-10,0.9107139706611633,0.9129459857940674,0.845982015132904,0.872767984867096,0.7370309233665466,505064000,yahoo
2000-01-11,0.8565850257873535,0.8872770071029663,0.8080360293388367,0.828125,0.6993310451507568,441548800,yahoo
2000-01-12,0.8482139706611633,0.8526790142059326,0.7723209857940674,0.7784600257873535,0.6573903560638428,976068800,yahoo
2000-01-13,0.8436099886894226,0.8816959857940674,0.825892984867096,0.8638389706611633,0.7294906973838806,1032684800,yahoo
2000-01-14,0.892857015132904,0.9129459857940674,0.8872770071029663,0.896763026714325,0.7572942972183228,390376000,yahoo
2000-01-18,0.9017860293388367,0.9464290142059326,0.896763026714325,0.928013026714325,0.7836840152740479,459177600,yahoo
2000-01-19,0.9430800080299377,0.970982015132904,0.9229909777641296,0.9514510035514832,0.803476870059967,597643200,yahoo
2000-01-20,1.03125,1.0848209857940674,1.0133930444717407,1.0133930444717407,0.8557853102684021,1831132800,yahoo
2000-01-21,1.020089030265808,1.020089030265808,0.9838169813156128,0.993861973285675,0.8392918705940247,495924800,yahoo
2000-01-24,0.9681919813156128,1.0066959857940674,0.9386159777641296,0.9486610293388367,0.8011208176612854,440876800,yahoo
2000-01-25,0.9375,1.010045051574707,0.9140629768371582,1.0022319555282593,0.8463601469993591,497145600,yahoo
2000-01-26,0.982142984867096,1.019531011581421,0.9799110293388367,0.9838169813156128,0.8308092951774597,367158400,yahoo
